Workout.1,Workout.2,Workout.3,Workout.4,Workout.5,Workout.6,Workout.7,Workout.8,,
146,,172,84,,,181,164,,
147,,172,84,,,181,164,,
147,,173,82,,,180,165,,
147,,173,81,,,180,165,,
147,,173,83,,,180,170,,
147,,173,84,,,179,171,,
148,,173,89,,,180,171,,
148,,172,91,,,180,172,,
149,,171,92,,,181,171,,
149,,171,93,,,181,170,,
149,,171,94,,,181,169,,
149,,169,94,,,181,169,,
150,,169,89,,,181,169,,
151,,169,84,,,181,170,,
151,,169,76,,,180,172,,
150,,167,78,,,180,175,,
151,,166,88,,,181,177,,
151,,165,94,,,181,178,,
151,,165,101,,,182,179,,
151,,163,102,,,182,180,,
152,,163,107,,,182,180,,
153,,161,110,,,181,180,,
155,,161,114,,,180,180,,
155,,161,116,,,180,180,,
157,,161,122,,,180,179,,
159,,160,124,,,180,179,,
160,,160,126,,,181,178,,
162,,162,127,,,181,177,,
163,,162,132,,,182,177,,
164,,163,134,,,182,177,,
165,,164,139,,,181,177,,
166,,164,141,,,181,177,,
166,,165,144,,,180,176,,
165,,168,144,,,180,176,,
165,,169,141,,,179,176,,
166,,172,140,,,179,177,,
166,,174,139,,,178,176,,
165,,174,140,,,178,177,,
164,,174,142,,,176,177,,
163,,175,143,,,176,177,,
163,,175,145,,,175,177,,
162,,174,145,,,176,177,,
162,,173,144,,,176,178,,
161,,172,144,,,176,178,,
160,,172,145,,,176,179,,
160,,172,146,,,177,179,,
161,,172,149,,,176,179,,
162,,172,149,,,176,180,,
163,,172,148,,,177,180,,
163,,171,147,,,177,179,,
161,,170,146,,,178,179,,
160,,169,145,,,178,179,,
160,,168,145,,,180,179,,
161,,169,145,,,181,179,,
163,,168,146,,,181,179,,
164,,168,146,,,181,179,,
164,,169,144,,,181,178,,
163,,168,144,,,181,179,,
163,,167,144,,,181,180,,
162,,168,144,,,181,180,,
163,,169,144,,,182,180,,
163,,170,143,,,182,179,,
163,,171,142,,,183,180,,
163,,171,142,,,183,180,,
163,,172,143,,,182,180,,
162,,172,142,,,182,181,,
161,,173,141,,,181,181,,
161,,175,140,,,181,182,,
163,,176,140,,,181,182,,
162,,176,139,,,181,182,,
162,,177,138,,,182,182,,
162,,178,138,,,182,182,,
163,,179,138,,,181,182,,
165,,180,139,,,181,183,,
166,,179,137,,,183,183,,
166,,179,138,,,183,184,,
167,,179,142,,,183,184,,
168,,178,143,,,182,184,,
168,,177,145,,,182,184,,
168,,174,146,,,182,184,,
167,,173,150,,,182,184,,
167,,174,151,,,182,184,,
166,,174,151,,,182,183,,
164,,175,148,,,183,183,,
163,,175,146,,,183,183,,
161,,175,145,,,183,183,,
159,,,145,,,183,182,,
158,,,145,,,183,182,,
155,,,147,,,183,182,,
154,,,147,,,183,182,,
152,,,148,,,183,183,,
151,,,148,,,183,183,,
151,,,149,,,182,183,,
